19-04-2021 17:58:47 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 17:58:54 - ERROR - v: 7.1.2 - m: 34.6 MB, u: 1 - 
19-04-2021 17:59:31 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 17:59:40 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 17:59:46 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 17:59:58 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 18:00:12 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 18:00:42 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 18:00:47 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 18:00:55 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 18:01:10 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 18:01:13 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 18:01:17 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 18:01:22 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 18:01:27 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 18:01:48 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 18:01:54 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 18:12:39 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 18:12:43 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 18:12:45 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 18:12:47 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
19-04-2021 18:12:50 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
21-04-2021 11:31:23 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
21-04-2021 11:31:27 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
21-04-2021 11:31:35 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
21-04-2021 11:31:43 - ERROR - v: 7.1.2 - m: 34.5 MB, u: 1 - 
21-04-2021 11:31:50 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
21-04-2021 11:31:53 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
21-04-2021 11:32:01 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
21-04-2021 11:32:12 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
21-04-2021 11:32:15 - ERROR - v: 7.1.2 - m: 34.4 MB, u: 1 - 
